City,Industry,Company Name,Company Type,Company Size,Job Title,Education level,Years of Industry Experience,Annual Base Salary,Compensation - Annual Target Bonus ($),Annual Target Bonus ($),Sign on Bonus Value,Relocation Assistance,Country,Overtime Rate,Year,Annual Equity,Retirement Benefits,Healthcare Benefits,Most recent annual yearly raise (%),Country,Where are you located?,US State,Canadian Province,Role type,Work from home days per week,Annual Target Bonus (%),Commission,Sign on Bonus,Sign on Equity Options,Years at current position,Currency,City_cleaned,State_inferred
nan,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,200-1000,Research Assistant,"Associate’s Degree or Equivalent, Bachelors or Equivalent",2,55000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,,,Have not been long enough to have an annual yearly raise,,Canada,,,,,,,,,,,Nan,
nan,Contract Manufacturing Organization,Prefer not to say,Public,50-200,Scientist I,Bachelors or Equivalent,6,122000,,15000,,,,N/A (no overtime/salaried),2024,1000,50% 401k match up to 3% total,"HSA contributions of 2,000/yr",3,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Sr. Engineer,Masters or Equivalent,4,120000,,14400,,,,N/A (no overtime/salaried),2024,15000,5%,,3%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Manager,Masters or Equivalent,5,171000,,25650,40000,,,N/A (no overtime/salaried),2024,15000,6%,,3,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Public,200-1000,Associate Director,Masters or Equivalent,11,200000,,15%,,,,N/A (no overtime/salaried),2024,50000,3%,,4%,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,50-200,Medical Science Liaison,PharmD or Equivalent,3,145000,,12.50%,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,401K match 6%,Very good benefits with High deductible health plan and HSA. Majority of deductible given within HSA yearly,2%,,"South & Mountain West (TX to AZ, North to MT)",,,,,,,,~15000 in stock/equity,,,Nan,
nan,Medical/Health Devices,Prefer not to say,Start-up,Jan-50,Assc Dir of AI,PhD or Equivalent,15,220,,13,,,,N/A (no overtime/salaried),2024,Not Applicable/None,100% match up to 5% of salary,,3.5,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Contract Manufacturing Organization,Prefer not to say,Private,50-200,QC 2,Bachelors or Equivalent,5,78000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match 4%,,Company/Institution does not have annual yearly raise,,"South & Mountain West (TX to AZ, North to MT)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Scientist,PhD or Equivalent,4,144000,,"14,400",22500,,,N/A (no overtime/salaried),2024,"8,000",401 k match of 6%,,3.25,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Manager,PharmD or Equivalent,7,155000,,23250,10000,,,N/A (no overtime/salaried),2024,15000,6% match,,Have not been long enough to have an annual yearly raise,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Medical/Health Devices,Osler Diagnostics,Start-up,50-200,Research Assistant,Bachelors or Equivalent,2,33800,,Not Applicable/None,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,5% contribution,£500 wellbeing budget. Vitality health insurance,14,,United Kingdom and Ireland,,,,,,,,0,,,Nan,
nan,Government,FDA,Government,5000+,Clinical Pharmacologist Reviewer,"Bachelors or Equivalent, PharmD or Equivalent",3,140000,,Not Applicable/None,5000,,,N/A (no overtime/salaried),2024,Not Applicable/None,"TSP match % = 4%
Pension
TSP contribution = 1%","HSA contribution = $900/year
Vision, dental, healthcare ",Have not been long enough to have an annual yearly raise,,"DC Metro Area (DC, VA, MD, DE)",,,,,,,,0,,,Nan,
nan,Big Pharmaceuticals,Amgen,Public,5000+,Senior Manager,"Bachelors or Equivalent, Masters or Equivalent",15,158000,,20%,0,,,N/A (no overtime/salaried),2024,"$25,000 ",5% core contribution plus 100% match up to 5%,,4.20%,,West Coast (California & Pacific Northwest),,,,,,,,0,,,Nan,
nan,Big Pharmaceuticals,Pfe,Public,5000+,Associate Research Fellow (R7) aka lab head,PhD or Equivalent,15,210000,,20% target,20000,,,N/A (no overtime/salaried),2024,"40K total, 20K RSU 20K other stuff",Standard pfizer 401k and match,normal healthcare,3%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Cell Therapy,Prefer not to say,Private,50-200,Sr. QC Associate,"Bachelors or Equivalent, Masters or Equivalent",7,123000,,10000,,,,1.5x,2024,Not Applicable/None,401k 3% match if I contribute 4%,Typical Healthcare benefits. Nothing Special. No HSA contributions.,3%,,West Coast (California & Pacific Northwest),,,,,,,,"Stock Options - Not much, a few thousand. No additional stock options were granted.",,,Nan,
nan,Industrial Biotech,Prefer not to say,Public,5000+,Engineer,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent",3,86000,,10000,,,,N/A (no overtime/salaried),2024,10000,50% match up to 10%,Local EPO has best coverage with company discount.,3.8,,"Pharma Central (NY, NJ, PA)",,,,,,,,60 options,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Private,5000+,Director ,MD or Equivalent,4,240000,,30000,20000,,,N/A (no overtime/salaried),2024,yes,401k match,"HSA, FSA, HDHP-SO",3,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Private,5000+,Director,PhD or Equivalent,10,260000,,65000,,,,N/A (no overtime/salaried),2024,Not Applicable/None,"401k match at 5%, pension",,Have not been long enough to have an annual yearly raise,,"DC Metro Area (DC, VA, MD, DE)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Director ,"High School or Equivalent, Bachelors or Equivalent, PhD or Equivalent, MD or Equivalent",5,270000,,60000,65000,,,N/A (no overtime/salaried),2024,130000,401k with match,Standard high deductible ,6,,"Pharma Central (NY, NJ, PA)",,,,,,,,300000,,,Nan,
nan,Contract Manufacturing Organization,Prefer not to say,Public,200-1000,Senior Director,Bachelors or Equivalent,27,285000,,25,85000,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match,80% of plan costs,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,15% of salar,,,Nan,
nan,Big Pharmaceuticals,Regeneron ,Public,5000+,"VP, Translational Genetics ",MD or Equivalent,5,420000,,110000,120000,,,N/A (no overtime/salaried),2024,1200000,401k,"HSA, FSA",12,,"Pharma Central (NY, NJ, PA)",,,,,,,,600000,,,Nan,
nan,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,,Research Scientist,PhD or Equivalent,15,50000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,,,1,,United Kingdom and Ireland,,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Private,200-1000,Senior Project Engineer,"Associate’s Degree or Equivalent, Bachelors or Equivalent",8,92000,,Not Applicable/None,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k 6/3 match,,2%,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Academia/Research/Institution,Prefer not to say,Private,1000-5000,"Group Leader, Principal Scientist",PhD or Equivalent,10,187000,,Not Applicable/None,2500,,,N/A (no overtime/salaried),2024,Not Applicable/None,2:1 401k match on first 5%,"BCBS coverage, $2500 company matching contribution to dependent care FSA",~3%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,50-200,Scientist I,PhD or Equivalent,1,130000,,10%,,,,N/A (no overtime/salaried),2024,Not Applicable/None,0%,,3%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Small sponsor side biotech,Prefer not to say,Public,50-200,Sr Director Biometrics,Masters or Equivalent,17,260900,,"63,960",20000,,,N/A (no overtime/salaried),2024,"33,000",3% match,Good insurance in a good insurance state. I think our family paid about 250 a month into a high deductible plan. Company provides the deductible in an account. ,4%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,"Received 25,000 shares",,,Nan,
nan,Contract Manufacturing Organization,Prefer not to say,Private,1000-5000,VP / CIO,Bachelors or Equivalent,25,310000,,90000,150000,,,N/A (no overtime/salaried),2024,10000,401k match up to 3%,All the normal benefits ,2%,,"Pharma Central (NY, NJ, PA)",,,,,,,,65000,,,Nan,
nan,Contract Manufacturing Organization,Prefer not to say,Start-up,Jan-50,Manufacturing Supervisor,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent, Masters or Equivalent",6,95000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,Matches up to 3%,,Company/Institution does not have annual yearly raise,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Private,Jan-50,Scientist,PhD or Equivalent,1,132000,,Not Applicable/None,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,,,Company/Institution does not have annual yearly raise,,West Coast (California & Pacific Northwest),,,,,,,,0,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Private,5000+,Co-op drug development ,PhD or Equivalent,0,98000,,Not Applicable/None,5000,,,N/A (no overtime/salaried),2024,Not Applicable/None,,,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Takeda,Public,5000+,Associate Director,Masters or Equivalent,10,175000,,43000,,,,N/A (no overtime/salaried),2024,40000,10% 401k,,3,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,Jan-50,computational chemistry scientist,PhD or Equivalent,2,145000,,Not Applicable/None,3000,,,N/A (no overtime/salaried),2024,20000,401k match %,health/dental/vision insurance,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Scientist,Masters or Equivalent,3,100000,,10%,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match 3%,,5,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,200-1000,Scientist,PhD or Equivalent,2,145000,,14500,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match up to $5000,,Have not been long enough to have an annual yearly raise,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Contract Research Organization,Prefer not to say,Private,Jan-50,Assistant Director,Bachelors or Equivalent,15,155000,,5000,,,,N/A (no overtime/salaried),2024,Not Applicable/None,3% match,,16,,"DC Metro Area (DC, VA, MD, DE)",,,,,,,,,,,Nan,
nan,Biotech Equipment,Prefer not to say,Public,Jan-50,Senior Quality Engineer,Bachelors or Equivalent,10,115000,,Not Applicable/None,7500,,,N/A (no overtime/salaried),2024,Not Applicable/None,3% 401k match,PPO health insurance through blue cross blue shield,Have not been long enough to have an annual yearly raise,,"Carolinas & Southeast (From NC to AR, South FL and LA)",,,,,,,,$50 in stock every pay period automated,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,Jan-50,Associate scientist ,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent",3,82500,,10000,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,3% 401k,,8.50%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Contract Research Organization,Prefer not to say,Public,200-1000,Proposals Supervisor,Bachelors or Equivalent,5,80000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401K match,,Company/Institution does not have annual yearly raise,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Contract Research Organization,"PPD, part of Thermo Fisher Scientific",Public,5000+,Associate Scientist,Bachelors or Equivalent,1,49920,,1000,,,,1.5x,2024,Not Applicable/None,"Half 401k match, up to 4%",,3,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Medical/Health Devices,Prefer not to say,Private,200-1000,Clinical Research Manager,Bachelors or Equivalent,8,154000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,12000,,,Company/Institution does not have annual yearly raise,,Canada,,,,,,,,12000,,,Nan,
nan,Biotech Equipment,Prefer not to say,Subsidiary,1000-5000,Field Service Engineer,"High School or Equivalent, Bachelors or Equivalent",3,96000,,"12,000",,,,1.5x,2024,Not Applicable/None,Standard 401k,,3.50%,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Biotech Equipment,Prefer not to say,Private,200-1000,Sr Scientist,PhD or Equivalent,3,160000,,24000,5000,,,N/A (no overtime/salaried),2024,40000,4% match,,3,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Eli Lilly,Public,5000+,Senior Process Engineer,Bachelors or Equivalent,2,156000,,Not Applicable/None,,,,1.5x base,2024,Not Applicable/None,6% 401K Match,,Have not been long enough to have an annual yearly raise,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,1000-5000,Scientist ,"Bachelors or Equivalent, Masters or Equivalent",4,100500,,10% (but typically get multipliers) ,,,,N/A (no overtime/salaried),2024,5%,6%,"Pay about $100/paycheck of good medical, dental, vision plus $800 to HSA",3.50%,,"DC Metro Area (DC, VA, MD, DE)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Sanofi,Private,5000+,Associate Director,MD or Equivalent,16,180000,,36000,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match,,3%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Private,Jan-50,Associate Research Scientist,PhD or Equivalent,2,103000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,"match starting post 1 year, 3 years vested",,Company/Institution does not have annual yearly raise,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,1000-5000,Sr. Analyst,Bachelors or Equivalent,5,86000,,8000,15000,,,1.5x base,2024,2500,up to 4% match,Decent Health Insurance with Dental and Vision,3.50%,,West Coast (California & Pacific Northwest),,,,,,,,none,,,Nan,
nan,Contract Research Organization,Prefer not to say,Private,50-200,Scientific Proposal Analyst,Bachelors or Equivalent,3,74000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,11.5% Superannuation ,,Yearly,,Australia,,,,,,,,,,,Nan,
nan,Liquid biopsy - clinical development ,Prefer not to say,Start-up,50-200,Associate Director Clinical Opey,"Bachelors or Equivalent, Masters or Equivalent",15,173000,,20000,10000,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match up to 10%,High deductible plan with deductible covered. HSA. ,3,,West Coast (California & Pacific Northwest),,,,,,,,25000,,,Nan,
nan,Contract Research Organization,PPD,Public,5000+,Associate Scientist,Bachelors or Equivalent,0,43680,,1310,,,,1.5x,2024,Not Applicable/None,401k 6% 1:1 match,,Company/Institution does not have annual yearly raise,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Genmab,Public,1000-5000,Senior Data Scientist,PhD or Equivalent,4,68112,,9195,,,,N/A (no overtime/salaried),2024,9000,pension contribution,,3,,Netherlands,,,,,,,,,,,Nan,
nan,Government,Prefer not to say,Public,50-200,principal statistician,Masters or Equivalent,4,150000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,10%,,3,,australia,,,,,,,,,,,Nan,
nan,Contract Manufacturing Organization,Prefer not to say,Start-up,Jan-50,Scientist I,Bachelors or Equivalent,3,80000,,3200,,,,N/A (no overtime/salaried),2024,Not Applicable/None,100% vested 401k match is cool,Health is reasonable but it isn’t competitive ,Company/Institution does not have annual yearly raise,,"Pharma Central (NY, NJ, PA)",,,,,,,,Sign on equity to very early employees only,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Senior Director ,Masters or Equivalent,12,280000,,100000,,,,N/A (no overtime/salaried),2024,100000,"4 % full match 401K, 7% Annual Retirement Contribution",,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Biotech startup,Prefer not to say,Private,Jan-50,Senior scientist,PhD or Equivalent,3,115500,,Not Applicable/None,5000,,,N/A (no overtime/salaried),2024,Not Applicable/None,Commuter,HRA ,5%,,West Coast (California & Pacific Northwest),,,,,,,,0.57% of company ,,,Nan,
nan,Contract Manufacturing Organization,MilliporeSigma,Public,5000+,Technical Service Manager,Bachelors or Equivalent,5,150000,,10%,,,,N/A (no overtime/salaried),2024,Not Applicable/None,4%,,2.50%,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Contract Research Organization,Veristat,Private,200-1000,Project Manager I,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent",4,110000,,3000,5000,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match 6%,,2,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Amgen,Public,5000+,Senior Scientist,Masters or Equivalent,8,159000,,20000,,,,N/A (no overtime/salaried),2024,15000,15%,,4,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Johnson and Johnson Innovative Medicine ,Private,5000+,Associate scientist ,Bachelors or Equivalent,0,68000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,"None, contract",,Have not been long enough to have an annual yearly raise,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Start-up,200-1000,Analyst,Masters or Equivalent,6,73000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,0,,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Quality engineer ,Bachelors or Equivalent,3,76000,,5500,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match up to 6%,,Have not been long enough to have an annual yearly raise,,"Carolinas & Southeast (From NC to AR, South FL and LA)",,,,,,,,,,,Nan,
